Zone#,StopSeq,Period,SignRt,Part,Express or Local,Inbound or Outbound,OnStreet,CrossStreet,Intersection,Direction,,,,,,
16240,1,AAM,316,,L,I,MERIDIAN AVE N,N 175TH ST,FS,S,,,,SW Wildwood Pl,SW Brace Point Dr,Fauntleroy
18390,1,AAM,132,,L,O,DEXTER AVE N,HARRISON ST,FS,S,,,,SW Barton St,Delridge Way SW,South Delridge
18390,1,AAM,131,,L,O,DEXTER AVE N,HARRISON ST,FS,S,,,,S Fisher Pl,Seward Park Ave S,Dunlap
28040,1,AAM,28,,L,I,8TH AVE NW,NW 95TH ST,NM,S,,,,SW Barton St,26th Ave SW,South Delridge
18085,1,AAM,44,,L,I,32ND AVE NW,NW MARKET ST,FS,S,,,,SW Barton St,35th Ave SW,Fauntleroy
13200,1,AAM,12,,L,I,19TH AVE E,E GALER ST,FS,S,,,,26th Ave SW,SW Barton St,South Delridge
21765,1,AAM,522,,E,O,6TH AVE S,S ATLANTIC ST,FS,N,,,,29th Ave SW,SW Barton St,Roxhill
21765,1,AAM,545,,E,O,6TH AVE S,S ATLANTIC ST,FS,N,,,,25th Ave SW,SW Barton St,Roxhill
21620,1,AAM,125,,L,O,DELRIDGE WAY SW,SW ANDOVER ST,NS,N,,,,S Henderson St,ST Light Rail,South Beacon Hill
22264,1,AAM,21,,E,I,35TH AVE SW,SW ROXBURY ST,FS,S,,,,SW Barton St,16th Ave SW,Highland Park
26210,1,AAM,26,,L,I,NE RAVENNA BLVD,WOODLAWN AVE NE,NS,E,,,,35th Ave SW,SW Barton St,Roxhill
22555,1,AAM,673,,L,I,SW BARTON ST,29TH AVE SW,FS,E,,,,41st Ave S,Carkeek Dr S,South Beacon Hill
22555,1,AAM,21,,L,I,SW BARTON ST,29TH AVE SW,FS,E,,,,SW Barton St,25th Ave SW,Roxhill
81755,1,AAM,216,,L,I,Bear Creek P&R AcRd,178th Pl NE,OP,N,,,,46th Ave SW,SW Wildwood Pl,Fauntleroy
81755,1,AAM,545,,E,I,Bear Creek P&R AcRd,178th Pl NE,OP,N,,,,SW Barton St,25th Ave SW,South Delridge
77986,1,AAM,312,,E,I,CAMPUS WAY NE,UW BOTHELL BKST,NS,N,,,,35th Ave SW,SW Barton St,Fauntleroy
77986,1,AAM,238,,L,I,CAMPUS WAY NE,UW BOTHELL BKST,NS,N,,,,45th Ave SW,SW Wildwood Pl,Fauntleroy
77752,1,AAM,77,,E,I,NE 175TH ST,10TH AVE NE,NS,E,,,,SW Barton St,35th Ave SW,Roxhill
77560,1,AAM,242,,L,I,5TH AVE NE,NE 163RD ST,NS,S,,,,41st Ave S,Carkeek Dr S,South Beacon Hill
75680,1,AAM,348,,L,I,RICHMOND BEACH DR NW,NW 196TH ST,FS,S,,,,S Henderson St,Seward Park Ave S,Dunlap
81875,1,AAM,200,,L,O,FRED MEYER,SE 62ND ST,FS,N,,,,S Henderson St,Rainier Ave S,Dunlap
80486,1,AAM,200,,L,I,FRONT ST S,E SUNSET WAY,AT,S,,,,S Henderson St,ST Light Rail,Dunlap
75380,1,AAM,28,,E,I,N 145TH ST,LINDEN AVE N,FS,W,,,,SW Director St,California Ave SW,Fauntleroy
80433,1,AAM,187,,L,O,Federal Way TC AcRd,23rd Ave S,FS,W,,,,S Henderson St,Renton Ave S,Dunlap
80438,1,AAM,183,,L,I,Federal Way TC AcRd,23rd Ave S,NS,E,,,,S Director St,14th Ave S,South Park
75995,1,AAM,522,,E,I,Woodinville P&R AcRd,NE 179th St,FS,S,,,,53rd Ave S,S Henderson St,Dunlap
75982,1,AAM,311,,L,I,SR 203,STEWART ST,NS,N,,,,Rainier Ave S,S Henderson St,Dunlap
80433,1,AAM,182,,L,O,Federal Way TC AcRd,23rd Ave S,FS,W,,,,S Henderson St,Rainier Ave S,Dunlap
80438,1,AAM,671,,L,I,Federal Way TC AcRd,23rd Ave S,NS,E,,,,Rainier Ave S,S Henderson St,Dunlap
75912,1,AAM,303,,E,I,Shoreline P&R AcRd,N 192nd St,NS,N,,,,48th Ave S,S Henderson St,Dunlap
75995,1,AAM,236,,L,I,Woodinville P&R AcRd,NE 179th St,FS,S,,,,Martin L King Jr Way S,S Henderson St,Dunlap
75982,1,AAM,232,,L,I,SR 203,STEWART ST,NS,N,,,,38th Ave S,Beacon Ave S,South Beacon Hill
80437,1,AAM,173,,L,I,Federal Way TC AcRd,23rd Ave S,NS,E,,,,Rainier Ave S,S Henderson St,Dunlap
57143,1,AAM,158,,L,I,132ND AVE SE,SE 240TH ST,FM,S,,,,Rainier Ave S,S Henderson St,Dunlap
54842,1,AAM,105,,L,I,HARRINGTON AVE NE,NE 16TH ST,FS,S,,,,S Henderson St,14th Ave S,South Park
55583,1,AAM,9,,E,I,MARTIN L KING JR WAY,S HENDERSON ST,FS,N,,,,Rainier Ave S,S Henderson St,Dunlap
56151,1,AAM,50,,L,I,MARTIN L KING JR WAY,S MYRTLE ST,FS,S,,,,Martin L King Jr Way S,S Henderson St,South Beacon Hill
56805,1,AAM,111,,L,I,NE 4TH ST,HOQUIAM AVE NE,FS,E,,,,22nd Ave SW,SW Barton Pl,South Delridge
52302,1,AAM,139,,L,O,Burien TC AcRd,SW 148th St,NS,N,,,,Renton Ave S,S Henderson St,Dunlap
37680,1,AAM,71,,E,I,NE 85TH ST,35TH AVE NE,FS,E,,,,SW Barton St,California Ave SW,Fauntleroy
37680,1,AAM,76,,L,I,NE 85TH ST,35TH AVE NE,FS,E,,,,Martin L King Jr Way S,S Henderson St,Dunlap
34544,1,AAM,8,,L,O,S HENDERSON ST,RAINIER AVE S,NS,W,,,,SW Henderson St,Delridge Way SW,South Delridge
34544,1,AAM,107,,L,O,S HENDERSON ST,RAINIER AVE S,NS,W,,,,37th Ave S,Beacon Ave S,South Beacon Hill
30635,1,AAM,5,,L,O,4TH AVE S,S ROYAL BROUGHAM WAY,FM,N,,,,S Henderson St,Martin L King Jr Way S,Dunlap
30635,1,AAM,24,,L,O,4TH AVE S,S ROYAL BROUGHAM WAY,FM,N,,,,SW Henderson St,25th Ave SW,Roxhill
30635,1,AAM,28,,L,O,4TH AVE S,S ROYAL BROUGHAM WAY,FM,N,,,,SW Henderson St,9th Ave SW,Highland Park
30635,1,AAM,26,,L,O,4TH AVE S,S ROYAL BROUGHAM WAY,FM,N,,,,SW Henderson St,16th Ave SW,South Delridge
38653,1,AAM,72,,L,I,NE 130TH ST,35TH AVE NE,FS,W,,,,SW Henderson St,25th Ave SW,Roxhill
38653,1,AAM,41,,L,I,NE 130TH ST,35TH AVE NE,FS,W,,,,SW Henderson St,16th Ave SW,Highland Park
38770,1,AAM,73,,L,I,NE 137TH ST,20TH AVE NE,NS,E,,,,SW Henderson St,35th Ave SW,Fauntleroy
45649,1,AAM,36,,L,I,S MYRTLE ST,39TH AVE S,FS,E,,,,SW Henderson St,25th Ave SW,South Delridge
57458,1,AAM,150,,L,I,Railroad Ave N,Smith St,NS,S,,,,SW Henderson St,35th Ave SW,Roxhill
57452,1,AAM,169,,L,O,Kent Sounder Station,Pioneer St,FS,N,,,,SW Barton St,Fauntleroy Way SW,Fauntleroy
52303,1,AAM,120,,L,I,Burien TC AcRd,SW 148th St,NS,N,,,,SW Barton St,Fauntleroy Way SW,Fauntleroy
52305,1,AAM,166,,L,I,Burien TC AcRd,SW 148th St,FS,S,,,,S Trenton St,14th Ave S,South Park
52306,1,AAM,180,,L,O,Burien TC AcRd,SW 148th St,FS,S,,,,S Trenton St,14th Ave S,South Park
