SW ROXBURY ST & 30TH AVE SW
D ST SE & D PL SE
WEST VALLEY HWY S & S 190TH ST
Totem Lake Transit C & NE 128th St
NORTHUP WAY & 168TH AVE NE
C ST SW & 8TH ST SW
9TH AVE N & JOHN ST
NORTHUP WAY & 165TH AVE NE
QUEEN ANNE AVE N & HIGHLAND DR
S 336TH ST & 9TH AVE S
QUEEN ANNE AVE N & W GARFIELD ST
NE 85TH ST & 120TH AVE NE
SE 272ND ST & 132ND AVE SE
SR 203 & NE 40TH ST
BELLEVUE AVE E & E REPUBLICAN ST
NE 65TH ST & 47TH AVE NE
SAND PT WAY NE & NE 95TH ST
SAND PT WAY NE & NE 52ND ST
SAND PT WAY NE & NE 61ST ST
SW 342ND ST & 35TH AVE SW
112TH AVE NE & MAIN ST
100TH AVE NE & NE 132ND ST
SE 176TH ST & SE 171ST WAY
16TH AVE SW & SW FINDLAY ST
NE CAMPUS PKWY & 11TH AVE NE
N 36TH ST & 1ST AVE NW
E MADISON ST & 22ND AVE
124TH AVE NE & NE 144TH ST
NW 85TH ST & 11TH AVE NW
LANDERHOLM CIR SE & 148TH AVE SE
GOLDEN GDNS DR NW & LOYAL AVE NW
64TH AVE S & S 236TH ST
WEST VIEWMONT WAY W & W PARKMONT PL
AVONDALE RD NE & AVONDALE PL NE
108TH AVE SE & BELLEVUE WAY SE
SW ADMIRAL WAY & 57TH AVE SW
6TH AVE S & S ATLANTIC ST
132ND AVE NE & NE 51ST PL
W NICKERSON ST & 8TH AVE W
W NICKERSON ST & 13TH AVE W
108TH AVE NE & MAIN ST
RAINIER AVE S & S BRANDON ST
9TH AVE S & ST FRANCIS HOSP
4TH AVE & CHERRY ST
BOSTON ST & 2ND AVE N
REDMOND WAY & 159TH PL NE
SAHALEE WAY NE & SAHALEE DR E
NW 85TH ST & 29TH AVE NW
FAUNTLEROY WAY SW & SW MORGAN ST
15TH AVE NE & NE 123RD ST
1ST AVE S & S 143RD ST
FRONT ST S & SE ANDREWS ST
